"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Stone shine salon and Spa","098941 33689","https://www.stoneshinespa.org/","","","","","570","MEDIUM","60","","Brompton","massage spa"
"BALI FOOT SPA","099991 20413","https://tattvaspa.com/locations/day-spa-in-chennai/tattva-wellness-spa-st-marys-rd-alwarpet-chennai/","","","","","0","HIGH","85","","Brompton","massage spa"
"Willows Spa","","http://www.willowsspa.in/","","","","","0","HIGH","85","","Brompton","massage spa"
